model_id,gpus
google/deplot,1
microsoft/kosmos-2.5,1
google/byt5-large,1
google/byt5-small,1
abacusai/Smaug-72B-v0.1,1
facebook/wmt19-ru-en,1
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,1
tiiuae/falcon-mamba-7b,1
tiiuae/falcon-mamba-7b-instruct,1
google/recurrentgemma-2b,1
google/gemma-2-9b,1
google/gemma-2-27b,1
google/flan-t5-small,1
google/flan-t5-large,1
google/flan-t5-base,1
parasail-ai/GritLM-7B-vllm,1
internlm/internlm3-8b-instruct,1
ai21labs/AI21-Jamba-1.5-Mini,1
ai21labs/Jamba-v0.1,1
meta-llama/Meta-Llama-3.1-70B,1
meta-llama/Meta-Llama-3-70B-Instruct,1
meta-llama/Llama-2-70b-hf,1
state-spaces/mamba-130m-hf,1
state-spaces/mamba-790m-hf,1
state-spaces/mamba-2.8b-hf,1
mistralai/Mistral-7B-Instruct-v0.1,1
mistralai/Mixtral-8x7B-Instruct-v0.1,1
microsoft/Phi-3-small-128k-instruct,1
stabilityai/stablelm-base-alpha-7b-v2,1
TeleAI/TeleChat2-3B,1
TeleAI/TeleChat2-7B,1
chuhac/TeleChat2-35B,1
TeleAI/TeleChat2-115B,1
xverse/XVERSE-7B-Chat,1
xverse/XVERSE-13B-Chat,1
xverse/XVERSE-65B-Chat,1
BAAI/bge-base-en-v1.5,1
BAAI/bge-multilingual-gemma2,1
intfloat/e5-mistral-7b-instruct,1
ssmits/Qwen2-7B-Instruct-embed-base,1
Alibaba-NLP/gte-Qwen2-7B-instruct,1
sentence-transformers/all-roberta-large-v1,1
intfloat/multilingual-e5-large,1
internlm/internlm2-1_8b-reward,1
internlm/internlm2-7b-reward,1
ai21labs/Jamba-tiny-reward-dev,1
jason9693/Qwen2.5-1.5B-apeach,1
cross-encoder/ms-marco-MiniLM-L-6-v2,1
cross-encoder/quora-roberta-base,1
BAAI/bge-reranker-v2-m3,1
rhymes-ai/Aria,1
deepseek-ai/deepseek-vl2-tiny,1
deepseek-ai/deepseek-vl2-small,1
deepseek-ai/deepseek-vl2,1
HuggingFaceM4/Idefics3-8B-Llama3,1
TIGER-Lab/Mantis-8B-siglip-llama3,1
openbmb/MiniCPM-V-2,1
nvidia/NVLM-D-72B,1
google/paligemma2-3b-ft-docci-448,1
google-bert/bert-large-cased,1
google-bert/bert-large-uncased,1
google-bert/bert-base-uncased,1
google-bert/bert-base-cased,1
mistralai/Pixtral-12B-2409,1
mistral-community/pixtral-12b,1
Qwen/Qwen-VL,1
Qwen/Qwen-VL-Chat,1
Qwen/Qwen2-Audio-7B-Instruct,1
Qwen/QVQ-72B-Preview,1
Qwen/Qwen2.5-Math-PRM-72B,1
royokong/e5-v,1
albert/albert-base-v1,1
albert/albert-base-v2,1
albert/albert-xlarge-v2,1
BAAI/Aquila-7B,1
BAAI/AquilaChat-7B,1
baichuan-inc/Baichuan2-13B-Chat,1
baichuan-inc/Baichuan-7B,1
facebook/bart-base,1
facebook/bart-large-cnn,1
abacusai/Smaug-34B-v0.1,1
replit/replit-code-v1_5-3b,1
replit/replit-code-v1_5-3b,1
codellama/CodeLlama-7b-Instruct-hf,1
codellama/CodeLlama-13b-Instruct-hf,1
codellama/CodeLlama-34b-Instruct-hf,1
codellama/CodeLlama-70b-Instruct-hf,1
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,1
LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,1
LGAI-EXAONE/EXAONE-3.5-32B-Instruct,1
THUDM/chatglm2-6b,1
THUDM/chatglm3-6b,1
CohereForAI/c4ai-command-r-v01,1
CohereForAI/c4ai-command-r7b-12-2024,1
Deci/DeciLM-7B,1
Deci/DeciLM-7B-instruct,1
deepseek-ai/deepseek-llm-67b-base,1
deepseek-ai/deepseek-llm-7b-chat,1
tiiuae/falcon-7b,1
tiiuae/falcon-40b,1
tiiuae/falcon-rw-7b,1
google/gemma-2b,1
google/gemma-7b,1
THUDM/glm-4-9b-chat-hf,1
openai-community/gpt2,1
openai-community/gpt2-xl,1
bigcode/starcoder,1
bigcode/gpt_bigcode-santacoder,1
WizardLMTeam/WizardCoder-15B-V1.0,1
EleutherAI/gpt-j-6b,1
nomic-ai/gpt4all-j,1
EleutherAI/gpt-neox-20b,1
EleutherAI/pythia-12b,1
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,1
databricks/dolly-v2-12b,1
stabilityai/stablelm-tuned-alpha-7b,1
ibm-granite/granite-3.0-2b-base,1
ibm-granite/granite-3.1-8b-instruct,1
ibm/PowerLM-3b,1
ibm-granite/granite-3.0-1b-a400m-base,1
ibm-granite/granite-3.0-3b-a800m-instruct,1
ibm/PowerMoE-3b,1
internlm/internlm-7b,1
internlm/internlm-chat-7b,1
internlm/internlm2-7b,1
internlm/internlm2-chat-7b,1
inceptionai/jais-13b,1
inceptionai/jais-13b-chat,1
inceptionai/jais-30b-v3,1
inceptionai/jais-30b-chat-v3,1
01-ai/Yi-34B,1
openbmb/MiniCPM-2B-sft-bf16,1
openbmb/MiniCPM-2B-dpo-bf16,1
openbmb/MiniCPM-S-1B-sft,1
openbmb/MiniCPM3-4B,1
mistralai/Mistral-7B-v0.1,1
mistralai/Mixtral-8x7B-v0.1,1
mosaicml/mpt-7b,1
mosaicml/mpt-7b-storywriter,1
mosaicml/mpt-30b,1
nvidia/nemo-megatron-gpt-1.3B,1
nvidia/Minitron-8B-Base,1
allenai/OLMo-1B-hf,1
allenai/OLMo-7B-hf,1
allenai/OLMo2-7B-1124,1
allenai/OLMoE-1B-7B-0924,1
allenai/OLMoE-1B-7B-0924-Instruct,1
facebook/opt-66b,1
facebook/opt-iml-max-30b,1
OrionStarAI/Orion-14B-Base,1
OrionStarAI/Orion-14B-Chat,1
microsoft/phi-1_5,1
microsoft/phi-2,1
microsoft/Phi-3-mini-4k-instruct,1
microsoft/Phi-3-mini-128k-instruct,1
microsoft/Phi-3-medium-128k-instruct,1
microsoft/Phi-3-small-8k-instruct,1
microsoft/Phi-3.5-MoE-instruct,1
adept/persimmon-8b-base,1
adept/persimmon-8b-chat,1
Qwen/Qwen-7B,1
Qwen/Qwen-7B-Chat,1
Qwen/QwQ-32B-Preview,1
Qwen/Qwen2-7B-Instruct,1
Qwen/Qwen2-7B,1
Qwen/Qwen1.5-MoE-A2.7B,1
Qwen/Qwen1.5-MoE-A2.7B-Chat,1
stabilityai/stablelm-3b-4e1t,1
bigcode/starcoder2-3b,1
bigcode/starcoder2-7b,1
bigcode/starcoder2-15b,1
upstage/solar-pro-preview-instruct,1
peiyi9979/math-shepherd-mistral-7b-prm,1
Salesforce/blip2-opt-2.7b,1
Salesforce/blip2-opt-6.7b,1
facebook/chameleon-7b,1
THUDM/glm-4v-9b,1
h2oai/h2ovl-mississippi-800m,1
h2oai/h2ovl-mississippi-2b,1
OpenGVLab/InternVL2_5-4B,1
OpenGVLab/Mono-InternVL-2B,1
OpenGVLab/InternVL2-4B,1
llava-hf/llava-1.5-7b-hf,1
llava-hf/llava-v1.6-mistral-7b-hf,1
llava-hf/llava-v1.6-vicuna-7b-hf,1
llava-hf/LLaVA-NeXT-Video-7B-hf,1
llava-hf/llava-onevision-qwen2-7b-ov-hf,1
llava-hf/llava-onevision-qwen2-0.5b-ov-hf,1
openbmb/MiniCPM-Llama3-V-2_5,1
openbmb/MiniCPM-V-2_6,1
meta-llama/Llama-3.2-11B-Vision,1
allenai/Molmo-7B-D-0924,1
allenai/Molmo-72B-0924,1
