model_id,gpus,gpu (GB),model (GB),tp recommend
BAAI/Aquila-7B,3,191.984375,13.620250701904297,1.0
BAAI/AquilaChat-7B,3,191.984375,13.620250701904297,1.0
Snowflake/snowflake-arctic-base,3,191.984375,449.1139682531357,4.0
Snowflake/snowflake-arctic-instruct,3,191.984375,446.2428745031357,4.0
baichuan-inc/Baichuan2-13B-Chat,3,191.984375,446.2428745031357,check out dependancy
baichuan-inc/Baichuan-7B,3,191.984375,13.102062225341797,1
bigscience/bloom,3,191.984375,328.28612518310547,2
bigscience/bloomz,3,191.984375,328.28612518310547,2
facebook/bart-base,3,191.984375,0.4035000801086426,1
facebook/bart-large-cnn,3,191.984375,0.948516845703125,1
google/deplot,3,191.984375,0.948516845703125,check out dependancy
microsoft/kosmos-2.5,3,191.984375,0.948516845703125,check out dependancy
google/byt5-large,3,191.984375,0.948516845703125,check out dependancy
google/byt5-small,3,191.984375,0.948516845703125,check out dependancy
abacusai/Smaug-34B-v0.1,3,191.984375,63.199864983558655,1
replit/replit-code-v1_5-3b,3,191.984375,63.199864983558655,check out dependancy
replit/replit-code-v1_5-3b,3,191.984375,63.199864983558655,check out dependancy
codellama/CodeLlama-7b-Instruct-hf,3,191.984375,12.307262539863586,1
codellama/CodeLlama-13b-Instruct-hf,3,191.984375,23.938918232917786,1
codellama/CodeLlama-34b-Instruct-hf,3,191.984375,62.36476719379425,1
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,3,191.984375,4.968554899096489,1
LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,3,191.984375,14.562999844551086,1
LGAI-EXAONE/EXAONE-3.5-32B-Instruct,3,191.984375,59.610612988471985,1
databricks/dbrx-instruct,3,191.984375,59.610612988471985,check out dependancy
THUDM/chatglm2-6b,3,191.984375,5.81479075551033,1
THUDM/chatglm3-6b,3,191.984375,5.81479075551033,1
facebook/wmt19-ru-en,3,191.984375,0.6064682006835938,1
CohereForAI/c4ai-command-r-v01,3,191.984375,0.6064682006835938,check out dependancy
CohereForAI/c4ai-command-r7b-12-2024,3,191.984375,0.6064682006835938,check out dependancy
databricks/dbrx-base,3,191.984375,243.96919345855713,2
databricks/dbrx-instruct,3,191.984375,243.96919345855713,check out dependancy
Deci/DeciLM-7B,3,191.984375,13.244640350341797,1
Deci/DeciLM-7B-instruct,3,191.984375,13.244640350341797,1
deepseek-ai/deepseek-llm-67b-base,3,191.984375,124.02636337280273,1
deepseek-ai/deepseek-llm-7b-chat,3,191.984375,12.090312838554382,1
deepseek-ai/DeepSeek-V2,3,191.984375,441.4463937282562,4
deepseek-ai/DeepSeek-V2-Chat,3,191.984375,441.4463937282562,4
deepseek-ai/DeepSeek-V3-Base,3,191.984375,1252.266920864582,8
deepseek-ai/DeepSeek-V3,3,191.984375,1252.266920864582,8
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,3,191.984375,1252.266920864582,check out dependancy
tiiuae/falcon-7b,3,191.984375,12.892728328704834,1
tiiuae/falcon-40b,3,191.984375,76.93341422080994,1
tiiuae/falcon-rw-7b,3,191.984375,13.99969482421875,1
tiiuae/falcon-mamba-7b,3,191.984375,13.051279067993164,1
tiiuae/falcon-mamba-7b-instruct,3,191.984375,13.051279067993164,1
google/recurrentgemma-2b,3,191.984375,4.997220993973315,1
google/gemma-2b,3,191.984375,4.668114185333252,1
google/gemma-7b,3,191.984375,15.902676582336426,1
google/gemma-2-9b,3,191.984375,17.21402883529663,1
google/gemma-2-27b,3,191.984375,50.714483976364136,1
google/flan-t5-small,3,191.984375,50.714483976364136,check out dependancy
google/flan-t5-large,3,191.984375,50.714483976364136,check out dependancy
google/flan-t5-base,3,191.984375,50.714483976364136,check out dependancy
THUDM/glm-4-9b-chat-hf,3,191.984375,16.352523863315582,1
openai-community/gpt2,3,191.984375,0.23251964896917343,1
openai-community/gpt2-xl,3,191.984375,2.904206722974777,1
bigcode/starcoder,3,191.984375,2.904206722974777,check out dependancy
bigcode/gpt_bigcode-santacoder,3,191.984375,2.095508575439453,1
WizardLM/WizardCoder-15B-V1.0,3,191.984375,28.907432556152344,1
EleutherAI/gpt-j-6b,3,191.984375,10.886032104492188,1
nomic-ai/gpt4all-j,3,191.984375,10.886032104492188,1
EleutherAI/gpt-neox-20b,3,191.984375,37.71946062147617,1
EleutherAI/pythia-12b,3,191.984375,21.590420939028263,1
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,3,191.984375,21.586606241762638,1
databricks/dolly-v2-12b,3,191.984375,21.586529947817326,1
stabilityai/stablelm-tuned-alpha-7b,3,191.984375,14.095177233219147,1
ibm-granite/granite-3.0-2b-base,3,191.984375,4.71905905008316,1
ibm-granite/granite-3.1-8b-instruct,3,191.984375,15.219390988349915,1
ibm/PowerLM-3b,3,191.984375,6.5416417717933655,1
ibm-granite/granite-3.0-1b-a400m-base,3,191.984375,2.4859333634376526,1
ibm-granite/granite-3.0-3b-a800m-instruct,3,191.984375,6.144481718540192,1
ibm/PowerMoE-3b,3,191.984375,6.144473135471344,1
xai-org/grok-1,3,191.984375,6.144473135471344,check out dependancy
parasail-ai/GritLM-7B-vllm,3,191.984375,13.988780975341797,1
internlm/internlm-7b,3,191.984375,13.669445037841797,1
internlm/internlm-chat-7b,3,191.984375,13.669445037841797,1
internlm/internlm2-7b,3,191.984375,14.412609100341797,1
internlm/internlm2-chat-7b,3,191.984375,14.412609100341797,1
internlm/internlm3-8b-instruct,3,191.984375,14.412609100341797,check out dependancy
inceptionai/jais-13b,3,191.984375,14.412609100341797,check out dependancy
inceptionai/jais-13b-chat,3,191.984375,14.412609100341797,check out dependancy
inceptionai/jais-30b-v3,3,191.984375,14.412609100341797,check out dependancy
inceptionai/jais-30b-chat-v3,3,191.984375,14.412609100341797,check out dependancy
ai21labs/AI21-Jamba-1.5-Large,3,191.984375,14.412609100341797,check out dependancy
ai21labs/AI21-Jamba-1.5-Mini,3,191.984375,14.412609100341797,check out dependancy
